state,word,tfidf_score,word_count,num_streets_with_word
south-carolina,loop,4195.850927661553,752,22805
south-dakota,highway,2255.234040287782,382,16491
south-dakota,cs,1214.8362102054148,117,187
south-dakota,sd,873.1074978322658,80,110
south-dakota,loop,769.9832819378914,138,22805
south-dakota,lake,557.5650437013052,106,31391
tennessee,cove,31391.319361790214,5890,29282
tennessee,hollow,9637.069780317694,1618,15649
tennessee,old,8814.327740526347,1649,28827
tennessee,valley,4981.4975372560575,852,17457
tennessee,view,4859.83001964511,860,21234
texas,cove,28673.225495149636,5380,29282
texas,bend,14461.337048775304,2110,6378
texas,ranch,14267.570551324336,2145,7807
texas,lake,13181.679240711988,2506,31391
texas,loop,12939.066889956306,2319,22805
utah,cove,4077.140799960868,765,29282
utah,view,3837.005329463988,679,21234
utah,canyon,3749.6013554294473,563,7741
utah,hollow,1959.5772297432147,329,15649
utah,mountain,1950.399801174035,314,12123
vermont,farm,2136.3479052901916,348,13035
vermont,brook,1822.6244144557847,278,8588
vermont,route,1268.617576464389,181,5461
vermont,pond,1263.5012575724897,188,7285
vermont,vermont,1237.2574496627612,131,478
virginia,terrace,14051.16587984604,2705,33517
virginia,mill,7937.423472692765,1277,12072
virginia,farm,7673.663452910171,1250,13035
virginia,old,6510.522248611941,1218,28827
virginia,run,6284.242412945498,1057,15819
washington,loop,6606.233375467127,1184,22805
washington,view,4752.461682001787,841,21234
washington,forest,4719.660317882525,798,16317
washington,lake,4360.579445550773,829,31391
washington,mountain,2260.9730179214926,364,12123
west-virginia,run,8418.625597663979,1416,15819
west-virginia,fork,5495.9196164431405,754,4127
west-virginia,hollow,4294.3926524159815,721,15649
west-virginia,branch,3556.8875006382273,541,8431
west-virginia,old,2555.032540916673,478,28827
wisconsin,lake,10236.052594742829,1946,31391
wisconsin,forest,3347.5284961422426,566,16317
wisconsin,view,2910.2470466479435,515,21234
wisconsin,highway,2757.0531330219746,467,16491
wisconsin,valley,2742.16237672898,469,17457
wyoming,ranch,1117.4600711526753,168,7807
wyoming,highway,903.2743669215462,153,16491
wyoming,mountain,863.3935425579326,139,12123
wyoming,loop,781.1424599369914,140,22805
wyoming,river,743.8079095501615,123,14287
